,text,contains_image,contains_table,extracted_text,class
166,<<START_SUBHEADING>>Administration<<END_SUBHEADING>>,0,0,Administration,1.0
167,"<<START_SECTION>>Administer infusion solution intravenously over 1 hour through an intravenous line containing a sterile, low-protein binding 0.2 or 0.22 micron in-line filter.<<END_SECTION>>",0,0,"Administer infusion solution intravenously over 1 hour through an intravenous line containing a sterile, low-protein binding 0.2 or 0.22 micron in-line filter.",2.0
168,<<START_SECTION>>Do not co-administer other drugs through the same infusion line. <<END_SECTION>>,0,0,Do not co-administer other drugs through the same infusion line. ,2.0
169,<<START_SUBHEADING>>4.3 	Contraindications<<END_SUBHEADING>>,0,0,4.3 	Contraindications,1.0
170,<<START_SECTION>>Hypersensitivity to the active substance or to any of the excipients listed in section 6.1. <<END_SECTION>>,0,0,Hypersensitivity to the active substance or to any of the excipients listed in section 6.1. ,2.0
171,<<START_SUBHEADING>>4.4 	Special warnings and precautions for use<<END_SUBHEADING>>,0,0,4.4 	Special warnings and precautions for use,1.0
172,<<START_SECTION>>Refer to Section 4.2 Dose and method of administration Table 2 for recommended treatment modifications and management of adverse reactions. <<END_SECTION>>,0,1,Refer to Section 4.2 Dose and method of administration Table 2 for recommended treatment modifications and management of adverse reactions. ,2.0
173,<<START_SUBHEADING>>Immune-mediated adverse reactions<<END_SUBHEADING>>,0,0,Immune-mediated adverse reactions,1.0
174,"<<START_SECTION>>Immune checkpoint inhibitors, including durvalumab, can cause severe and fatal immune-mediated adverse reactions, which may involve any organ system. While immune-mediated reactions usually manifest during treatment, they can also manifest after discontinuation.  Early identification of such reactions and timely intervention are an important part of the safe use of durvalumab. In clinical trials, most immune-mediated adverse reactions were reversible and managed with interruptions of durvalumab, administration of corticosteroids and/or supportive care. Patients should be monitored for signs and symptoms and managed as recommended in Table 2 (see Section 4.2 Dose and method of administration). <<END_SECTION>>",0,1,"Immune checkpoint inhibitors, including durvalumab, can cause severe and fatal immune-mediated adverse reactions, which may involve any organ system. While immune-mediated reactions usually manifest during treatment, they can also manifest after discontinuation.  Early identification of such reactions and timely intervention are an important part of the safe use of durvalumab. In clinical trials, most immune-mediated adverse reactions were reversible and managed with interruptions of durvalumab, administration of corticosteroids and/or supportive care. Patients should be monitored for signs and symptoms and managed as recommended in Table 2 (see Section 4.2 Dose and method of administration). ",2.0
175,<<START_SUBHEADING>>Immune-mediated pneumonitis<<END_SUBHEADING>>,0,0,Immune-mediated pneumonitis,1.0
176,"<<START_SECTION>>Immune-mediated pneumonitis/interstitial lung disease,* including fatal cases, occurred in patients receiving durvalumab in clinical trials (see Section 4.8 Adverse effects).<<END_SECTION>>",0,0,"Immune-mediated pneumonitis/interstitial lung disease,* including fatal cases, occurred in patients receiving durvalumab in clinical trials (see Section 4.8 Adverse effects).",2.0
177,"<<START_SECTION>>Pneumonitis is frequently observed in patients receiving radiation therapy to the lung and the clinical presentation of pneumonitis and radiation pneumonitis is very similar. In the PACIFIC Study, in patients who had completed treatment with at least 2 cycles of concurrent chemoradiation within 1 to 42 days prior to initiation of the trial, pneumonitis or radiation pneumonitis occurred in 161 (33.9%) patients in the IMFINZI-treated group and 58 (24.8%) in the placebo group, including Grade 3 (3.4% vs 3.0%) and Grade 5 (1.1% vs 1.7%). See also Section 4.8 Adverse effects.<<END_SECTION>>",0,0,"Pneumonitis is frequently observed in patients receiving radiation therapy to the lung and the clinical presentation of pneumonitis and radiation pneumonitis is very similar. In the PACIFIC Study, in patients who had completed treatment with at least 2 cycles of concurrent chemoradiation within 1 to 42 days prior to initiation of the trial, pneumonitis or radiation pneumonitis occurred in 161 (33.9%) patients in the IMFINZI-treated group and 58 (24.8%) in the placebo group, including Grade 3 (3.4% vs 3.0%) and Grade 5 (1.1% vs 1.7%). See also Section 4.8 Adverse effects.",2.0
178,"<<START_SECTION>>Patients should be monitored for signs and symptoms of pneumonitis. Suspected pneumonitis should be confirmed with radiographic imaging and other infectious and disease-related aetiologies excluded, and managed as recommended in Table 2 (see Section 4.2 Dose and method of administration). <<END_SECTION>>",0,1,"Patients should be monitored for signs and symptoms of pneumonitis. Suspected pneumonitis should be confirmed with radiographic imaging and other infectious and disease-related aetiologies excluded, and managed as recommended in Table 2 (see Section 4.2 Dose and method of administration). ",2.0
179,<<START_SUBHEADING>>Immune-mediated hepatitis<<END_SUBHEADING>>,0,0,Immune-mediated hepatitis,1.0
180,"<<START_SECTION>>Immune-mediated hepatitis,* including a fatal case, occurred in patients receiving durvalumab in clinical trials (see Section 4.8 Adverse effects). Patients should be monitored for abnormal liver tests prior to each infusion, and as indicated based on clinical evaluation during and after discontinuation of treatment with durvalumab. Immune-mediated hepatitis should be managed as recommended in Table 2 (see Section 4.2 Dose and method of administration). <<END_SECTION>>",0,1,"Immune-mediated hepatitis,* including a fatal case, occurred in patients receiving durvalumab in clinical trials (see Section 4.8 Adverse effects). Patients should be monitored for abnormal liver tests prior to each infusion, and as indicated based on clinical evaluation during and after discontinuation of treatment with durvalumab. Immune-mediated hepatitis should be managed as recommended in Table 2 (see Section 4.2 Dose and method of administration). ",2.0
181,<<START_SUBHEADING>>Immune-mediated colitis<<END_SUBHEADING>>,0,0,Immune-mediated colitis,1.0
182,<<START_SECTION>>Immune-mediated colitis* occurred in patients receiving durvalumab in clinical trials (see Section 4.8 Adverse effects). Patients should be monitored for signs and symptoms of colitis (including diarrhoea) and managed as recommended in Table 2 (see Section 4.2 Dose and method of administration). <<END_SECTION>>,0,1,Immune-mediated colitis* occurred in patients receiving durvalumab in clinical trials (see Section 4.8 Adverse effects). Patients should be monitored for signs and symptoms of colitis (including diarrhoea) and managed as recommended in Table 2 (see Section 4.2 Dose and method of administration). ,2.0
183,<<START_SUBHEADING>>Immune-mediated endocrinopathies<<END_SUBHEADING>>,0,0,Immune-mediated endocrinopathies,1.0
184,<<START_SUBHEADING>>Immune-mediated hypothyroidism/hyperthyroidism/thyroiditis<<END_SUBHEADING>>,0,0,Immune-mediated hypothyroidism/hyperthyroidism/thyroiditis,1.0
185,"<<START_SECTION>>Immune-mediated hypothyroidism, hyperthyroidism or thyroiditis have occurred in patients receiving durvalumab in clinical trials (see Section 4.8 Adverse effects). Patients should be monitored for abnormal thyroid function tests prior to and periodically during treatment and managed as recommended in Table 2 (see Section 4.2 Dose and method of administration). <<END_SECTION>>",0,1,"Immune-mediated hypothyroidism, hyperthyroidism or thyroiditis have occurred in patients receiving durvalumab in clinical trials (see Section 4.8 Adverse effects). Patients should be monitored for abnormal thyroid function tests prior to and periodically during treatment and managed as recommended in Table 2 (see Section 4.2 Dose and method of administration). ",2.0
186,<<START_SUBHEADING>>Immune-mediated adrenal insufficiency<<END_SUBHEADING>>,0,0,Immune-mediated adrenal insufficiency,1.0
187,"<<START_SECTION>>Immune-mediated adrenal insufficiency occurred in patients receiving durvalumab in clinical trials (see Section 4.8 Adverse effects). Patients should be monitored for clinical signs and symptoms of adrenal insufficiency. For symptomatic adrenal insufficiency, patients should be managed as recommended in Table 2 (see Section 4.2 Dose and method of administration). <<END_SECTION>>",0,1,"Immune-mediated adrenal insufficiency occurred in patients receiving durvalumab in clinical trials (see Section 4.8 Adverse effects). Patients should be monitored for clinical signs and symptoms of adrenal insufficiency. For symptomatic adrenal insufficiency, patients should be managed as recommended in Table 2 (see Section 4.2 Dose and method of administration). ",2.0
188,<<START_SUBHEADING>>Immune-mediated type 1 diabetes mellitus<<END_SUBHEADING>>,0,0,Immune-mediated type 1 diabetes mellitus,1.0
189,"<<START_SECTION>>Immune-mediated type 1 diabetes mellitus, which can present with diabetic ketoacidosis, occurred in patients receiving durvalumab in clinical trials (see Section 4.8 Adverse effects). Patients should be monitored for clinical signs and symptoms of type 1 diabetes mellitus. For symptomatic type 1 diabetes mellitus, patients should be managed as recommended in Table 2 (see Section 4.2 Dose and method of administration). <<END_SECTION>>",0,1,"Immune-mediated type 1 diabetes mellitus, which can present with diabetic ketoacidosis, occurred in patients receiving durvalumab in clinical trials (see Section 4.8 Adverse effects). Patients should be monitored for clinical signs and symptoms of type 1 diabetes mellitus. For symptomatic type 1 diabetes mellitus, patients should be managed as recommended in Table 2 (see Section 4.2 Dose and method of administration). ",2.0
190,<<START_SUBHEADING>>Immune-mediated hypophysitis/hypopituitarism<<END_SUBHEADING>>,0,0,Immune-mediated hypophysitis/hypopituitarism,1.0
191,"<<START_SECTION>>Immune-mediated hypophysitis/hypopituitarism occurred in patients receiving durvalumab in clinical trials (see Section 4.8 Adverse effects). Patients should be monitored for clinical signs and symptoms of hypophysitis or hypopituitarism. For symptomatic hypophysitis or hypopituitarism, patients should be managed as recommended in Table 2 (see Section 4.2 Dose and method of administration). <<END_SECTION>>",0,1,"Immune-mediated hypophysitis/hypopituitarism occurred in patients receiving durvalumab in clinical trials (see Section 4.8 Adverse effects). Patients should be monitored for clinical signs and symptoms of hypophysitis or hypopituitarism. For symptomatic hypophysitis or hypopituitarism, patients should be managed as recommended in Table 2 (see Section 4.2 Dose and method of administration). ",2.0
192,<<START_SUBHEADING>>Immune-mediated nephritis<<END_SUBHEADING>>,0,0,Immune-mediated nephritis,1.0
193,<<START_SECTION>>Immune-mediated nephritis* occurred in patients receiving durvalumab in clinical trials (see Section 4.8 Adverse effects). Patients should be monitored for abnormal renal function tests prior to and periodically during treatment with durvalumab and managed as recommended in Table 2 (see Section 4.2 Dose and method of administration). <<END_SECTION>>,0,1,Immune-mediated nephritis* occurred in patients receiving durvalumab in clinical trials (see Section 4.8 Adverse effects). Patients should be monitored for abnormal renal function tests prior to and periodically during treatment with durvalumab and managed as recommended in Table 2 (see Section 4.2 Dose and method of administration). ,2.0
194,<<START_SUBHEADING>>Immune-mediated dermatological adverse reactions<<END_SUBHEADING>>,0,0,Immune-mediated dermatological adverse reactions,1.0
195,<<START_SECTION>>Immune-mediated dermatitis (including pemphigoid)* occurred in patients receiving durvalumab in clinical trials (see Section 4.8 Adverse effects). Bullous dermatitis and Stevens-Johnson Syndrome (SJS)/toxic epidermal necrolysis (TEN) have occurred with other products in this class. Patients should be monitored for signs and symptoms dermatitis (including rash) and managed as recommended in Table 2 (see Section 4.2 Dose and method of administration). <<END_SECTION>>,0,1,Immune-mediated dermatitis (including pemphigoid)* occurred in patients receiving durvalumab in clinical trials (see Section 4.8 Adverse effects). Bullous dermatitis and Stevens-Johnson Syndrome (SJS)/toxic epidermal necrolysis (TEN) have occurred with other products in this class. Patients should be monitored for signs and symptoms dermatitis (including rash) and managed as recommended in Table 2 (see Section 4.2 Dose and method of administration). ,2.0
196,<<START_SUBHEADING>>Other immune mediated adverse reactions<<END_SUBHEADING>>,0,0,Other immune mediated adverse reactions,1.0
197,"<<START_SECTION>>Given the mechanism of action of durvalumab, other immune-mediated adverse reactions may occur. Other immune mediated adverse reactions are: aseptic meningitis, haemolytic anaemia, immune thrombocytopenia, myasthenia gravis, myocarditis, myositis, polymyositis and ocular inflammatory toxicity, including uveitis and keratitis.  Patients should be monitored for signs and symptoms of immune-mediated adverse reactions and managed as recommended in Table 2 (see Section 4.2 Dose and method of administration).<<END_SECTION>>",0,1,"Given the mechanism of action of durvalumab, other immune-mediated adverse reactions may occur. Other immune mediated adverse reactions are: aseptic meningitis, haemolytic anaemia, immune thrombocytopenia, myasthenia gravis, myocarditis, myositis, polymyositis and ocular inflammatory toxicity, including uveitis and keratitis.  Patients should be monitored for signs and symptoms of immune-mediated adverse reactions and managed as recommended in Table 2 (see Section 4.2 Dose and method of administration).",2.0
198,"<<START_SECTION>>Also see Section 4.8 Adverse effects, immune-mediated neurological adverse events in ongoing and completed trials. <<END_SECTION>>",0,0,"Also see Section 4.8 Adverse effects, immune-mediated neurological adverse events in ongoing and completed trials. ",2.0
199,<<START_SUBHEADING>>Infusion-related reactions<<END_SUBHEADING>>,0,0,Infusion-related reactions,1.0
200,<<START_SECTION>>Patients should be monitored for signs and symptoms of infusion-related reactions and managed as recommended in Table 2 (see Section 4.2 Dose and method of administration). Severe infusion related reactions have been reported in patients receiving durvalumab (see Section 4.8 Adverse effects). <<END_SECTION>>,0,1,Patients should be monitored for signs and symptoms of infusion-related reactions and managed as recommended in Table 2 (see Section 4.2 Dose and method of administration). Severe infusion related reactions have been reported in patients receiving durvalumab (see Section 4.8 Adverse effects). ,2.0
201,<<START_SUBHEADING>>Efficacy in patients with PD-L1 expression <1%<<END_SUBHEADING>>,0,0,Efficacy in patients with PD-L1 expression <1%,1.0
202,"<<START_SECTION>>Post-hoc analyses suggest efficacy may be different for patients with PD-L1 <1%. Before initiating treatment, physicians are advised to carefully evaluate the individual patient and tumour characteristics, taking into consideration the observed benefits and the side effects of durvalumab (see sections 4.8 Adverse effects and 5.1 Pharmacological properties). <<END_SECTION>>",0,0,"Post-hoc analyses suggest efficacy may be different for patients with PD-L1 <1%. Before initiating treatment, physicians are advised to carefully evaluate the individual patient and tumour characteristics, taking into consideration the observed benefits and the side effects of durvalumab (see sections 4.8 Adverse effects and 5.1 Pharmacological properties). ",2.0
